addr:street,addr:housenumber,exists,reason,ignore_date
Wilhelmstraße,15,False,object has different address already,2020-05-01
Wilhelmstraße,15/1,False,object has different address already,2020-05-01
Wilhelmstraße,15/2,False,object has different address already,2020-05-01
Wilhelmstraße,50,False,object has different address already,2020-05-01
Zeppelinstraße,5/2,False,object has different address already,2020-05-01
Zeppelinstraße,5/1,False,object has different address already,2020-05-01
Weinbergstraße,63,False,building does not exist,2020-05-01
Weinbergstraße,19,False,building does not exist,2020-05-01
Weinbergstraße,17,False,building does not exist,2020-05-01
Weinbergstraße,123/1,False,object has different address already,2020-05-01
Akazienweg,4/3,False,object has different address already,2020-05-01
Akazienweg,4/2,False,object has different address already,2020-05-01
Akazienweg,4/1,False,object has different address already,2020-05-01
Agnes-Miegel-Straße,4/3,False,building does not exist,2020-05-01
Albertus-Magnus-Straße,26,True,address does exist,2020-05-01
Allmandweg,7/1,False,building does not exist,2020-05-01
Alte Ramtelstraße,23/1,False,object has different address already,2020-05-01
Am Längenbühl,2,False,building does not exist,2020-05-01
Am Längenbühl,4,False,building does not exist,2020-05-01
Am Längenbühl,10,False,building does not exist,2020-05-01
Am Längenbühl,14,False,building does not exist,2020-05-01
Am Längenbühl,16,False,building does not exist,2020-05-01
Am Längenbühl,24,False,building does not exist,2020-05-01
Am Schlauchengraben,6,True,address does exist,2020-05-01
Am Wäschbach,3,False,building does not exist,2020-05-01
Am Wäschbach,9,False,building does not exist,2020-05-01
Am Wäschbach,2,True,address does exist,2020-05-01
Arndtstraße,15,True,address does exist,2020-05-01
August-Lämmle-Weg,19,False,building does not exist,2020-05-01
August-Lämmle-Weg,21,False,building does not exist,2020-05-01
August-Lämmle-Weg,23,False,building does not exist,2020-05-01
August-Lämmle-Weg,62/1,False,object has different address already,2020-05-01
Bahnhofstraße,15,False,building does not exist,2020-05-01
Bahnhofstraße,45,False,building does not exist,2020-05-01
Bahnhofstraße,83,False,building does not exist,2020-05-01
Beisheimer Straße,3463/4,False,invalid address,2020-05-01
Beisheimer Straße,8/1,False,building does not exist,2020-05-01
Beisheimer Straße,3,False,building does not exist,2020-05-01
Berghalde,27/1,False,building does not exist,2020-05-01
Berghalde,43/1,False,garage,2020-05-01
Bergstraße,18/1,False,object has different address already,2020-05-01
Bergstraße,6,True,address does exist,2020-05-01
Berliner Straße,60,False,building does not exist,2020-05-01
Binsenweg,3,False,building does not exist,2020-05-01
